domain,url,domain_name,base_domain,trigrams,domain_ip,as_subnet,as_number,as_name,name_server,ns_base_domain,ns_ip,ns_as_subnet,ns_as_number,ns_as_name,label
paypal-issues.cf,http://paypal-issues.cf/auth/c9e409fa6163528f58d8b1062a87e596NmY1NjUzMzRiMWZiMWQ1ZjIzMjk2NTQ0OTM5Yjk0MDU=/resolution/websc_login/,paypal-issues,paypal-issues.cf,"{'-is', 'pal', 'ayp', 'ues', 'sue', 'ypa', 'iss', 'pay', 'l-i', 'ssu', 'al-'}",185.139.56.112,185.139.56.0/22,203301,"DATACENTER, GE",ns04.freenom.com,freenom.com,104.155.29.241,104.155.0.0/19,15169,"GOOGLE - Google LLC, US",1
registrasi-akun13.webnode.com,https://registrasi-akun13.webnode.com/,webnode,webnode.com,"{'bno', 'web', 'ebn', 'nod', 'ode'}",178.238.47.17,178.238.32.0/20,24971,"MASTER-AS Czech Republic / www.master.cz, CZ",ns-07.webnode.com,webnode.com,93.185.99.9,93.185.96.0/20,43541,"VSHOSTING, CZ",1
srexsc.000webhostapp.com,https://srexsc.000webhostapp.com/app.htm,000webhostapp,000webhostapp.com,"{'web', 'ost', 'sta', 'app', 'bho', 'hos', '000', '0we', 'ebh', 'tap', '00w'}",145.14.144.114,145.14.144.0/23,204915,"AWEX, US",dns1.000webhost.com,000webhost.com,153.92.2.10,153.92.2.0/24,47583,"AS-HOSTINGER, LT",1
azrseczs.000webhostapp.com,https://azrseczs.000webhostapp.com/app.htm,000webhostapp,000webhostapp.com,"{'web', 'ost', 'sta', 'app', 'bho', 'hos', '000', '0we', 'ebh', 'tap', '00w'}",145.14.145.191,145.14.144.0/23,204915,"AWEX, US",dns1.000webhost.com,000webhost.com,153.92.2.10,153.92.2.0/24,47583,"AS-HOSTINGER, LT",1
thetechnocrats.in,https://thetechnocrats.in/hy5dr0qc-rem6boursmnt/banks/National/?&amp;sessionid=5e639134cbdf89db4243214a433b2426&amp;securessl=true,thetechnocrats,thetechnocrats.in,"{'het', 'ete', 'hno', 'ech', 'noc', 'the', 'ocr', 'tec', 'chn', 'ats', 'cra', 'rat'}",51.89.159.145,51.89.0.0/16,16276,"OVH, FR",ns2.hostupgrading.com,hostupgrading.com,51.89.159.145,51.89.0.0/16,16276,"OVH, FR",1
docus1gn.live,http://docus1gn.live/loginapp=email&amp;realm=pass/m2u7rmsCe65wKzP/yahoo/index.html,docus1gn,docus1gn.live,"{'doc', 'cus', 's1g', 'us1', '1gn', 'ocu'}",199.192.31.162,199.192.31.0/24,22612,"NAMECHEAP-NET - Namecheap, Inc., US",dns1.registrar-servers.com,registrar-servers.com,216.87.155.33,216.87.155.0/24,396566,"VRSN-AC50-340 - VeriSign Global Registry Services, US",1
geoverde.cl,http://geoverde.cl/hdreated/enterpassword.php?G8L66e156449220040788fb3c38f78569cf5bf4414c9b4fc40788fb3c38f78569cf5bf4414c9b4fc40788fb3c38f78569cf5bf4414c9b4fc40788fb3c38f78569cf5bf4414c9b4fc40788fb3c38f78569cf5bf4414c9b4fc&amp;AP___=thill@austin-ind.com&amp;error=,geoverde,geoverde.cl,"{'geo', 'rde', 'ove', 'ver', 'eov', 'erd'}",170.84.209.80,170.84.208.0/22,7004,"CTC Transmisiones Regionales S.A., CL",ns1.cromocosmo.cl,cromocosmo.cl,170.84.209.80,170.84.208.0/22,7004,"CTC Transmisiones Regionales S.A., CL",1
www.paypal-issues.cf,http://www.paypal-issues.cf/auth/5be4d4c9c7c64733dfe7a4421b76141eMDM3MTZkOWVlMjYxMjI5YzQ4NzAxMTExMWZkYTNmZTg=/resolution/websc_login/?country.x=NL&amp;locale.x=en_NL,paypal-issues,paypal-issues.cf,"{'-is', 'pal', 'ayp', 'ues', 'sue', 'ypa', 'iss', 'pay', 'l-i', 'ssu', 'al-'}",185.139.56.112,185.139.56.0/22,203301,"DATACENTER, GE",ns04.freenom.com,freenom.com,104.155.29.241,104.155.0.0/19,15169,"GOOGLE - Google LLC, US",1
sib-film.ru,http://sib-film.ru/wp-content/telekom,sib-film,sib-film.ru,"{'b-f', 'fil', 'ilm', 'sib', '-fi', 'ib-'}",92.118.148.34,92.118.148.0/24,50979,"ITL-, LV",ns4.frienddns.net,frienddns.net,5.45.64.85,5.45.64.0/21,50673,"SERVERIUS-AS, NL",1
elartedesanarte.es,http://elartedesanarte.es/0011/Office/365/Login.php,elartedesanarte,elartedesanarte.es,"{'art', 'ede', 'des', 'rte', 'ela', 'ted', 'esa', 'ana', 'nar', 'lar', 'san'}",77.246.187.125,77.246.187.0/24,43578,"BITNAP bitNAP Datacenter 01 Barcelona, ES",ns20.ovh.net,ovh.net,213.251.128.143,213.251.128.0/18,16276,"OVH, FR",1
fatmazpharmc.com,http://fatmazpharmc.com/mail/login.php,fatmazpharmc,fatmazpharmc.com,"{'pha', 'fat', 'har', 'atm', 'maz', 'arm', 'azp', 'zph', 'rmc', 'tma'}",192.3.138.61,192.3.136.0/21,36352,"AS-COLOCROSSING - ColoCrossing, US",ns2.supportcloude.com,supportcloude.com,,,,,1
www.webdigi.com.br,http://www.webdigi.com.br/css/secure/set-up/customer_center/customer-IDPP00C852/myaccount/signin/,webdigi,webdigi.com.br,"{'dig', 'web', 'ebd', 'bdi', 'igi'}",192.185.214.90,192.185.192.0/19,46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",ns1.webdigi.com.br,webdigi.com.br,192.185.176.196,192.185.128.0/18,46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",1
www.toplong.com.tw,https://www.toplong.com.tw/.ssll/sell/,toplong,toplong.com.tw,"{'ong', 'opl', 'lon', 'plo', 'top'}",139.162.48.154,139.162.32.0/19,63949,"LINODE-AP Linode, LLC, US",ns1.youweb.host,youweb.host,172.104.118.193,172.104.96.0/19,63949,"LINODE-AP Linode, LLC, US",1
mydocomols.com,http://mydocomols.com/,mydocomols,mydocomols.com,"{'doc', 'ydo', 'omo', 'myd', 'mol', 'ols', 'com', 'oco'}",128.14.153.122,128.14.128.0/19,21859,"ZNET - Zenlayer Inc, US",ns2.myhostadmin.net,myhostadmin.net,120.52.19.214,120.52.18.0/23,133119,"UNICOM-CN China Unicom IP network, CN",1
loja.www-sempre-online-seguro-com-voce.com,https://loja.www-sempre-online-seguro-com-voce.com/promocao.php,www-sempre-online-seguro-com-voce,www-sempre-online-seguro-com-voce.com,"{'-on', 'onl', '-co', 'www', 'lin', 'ne-', 'gur', 'e-o', 'com', 'nli', 'ro-', 'seg', 'om-', 'oce', 'voc', '-vo', '-se', 'emp', 'uro', 'sem', 'pre', 'e-s', 'ww-', 'w-s', 'egu', 'o-c', 'mpr', 'ine', 'm-v', 're-'}",104.24.108.90,104.24.96.0/20,13335,"CLOUDFLARENET - Cloudflare, Inc., US",chad.ns.cloudflare.com,cloudflare.com,173.245.59.82,173.245.59.0/24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",1
clubemagazine.com.br,https://clubemagazine.com.br/!!xxa-da54dad11/index.php?&amp;id=1,clubemagazine,clubemagazine.com.br,"{'clu', 'bem', 'ema', 'mag', 'ube', 'azi', 'aga', 'ine', 'gaz', 'zin', 'lub'}",,,,,,,,,,,1
semanaliquidada.com,http://semanaliquidada.com/promocao.php,semanaliquidada,semanaliquidada.com,"{'dad', 'ida', 'ema', 'qui', 'man', 'nal', 'ada', 'ana', 'uid', 'ali', 'sem', 'iqu', 'liq'}",104.27.157.46,104.27.144.0/20,13335,"CLOUDFLARENET - Cloudflare, Inc., US",gail.ns.cloudflare.com,cloudflare.com,173.245.58.116,173.245.58.0/24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",1
ofertasimperdiveisloja72.com,http://ofertasimperdiveisloja72.com/produtos-loja.php?linkcompleto=conjunto-de-panelas-tramontina-aluminio-antiaderente-10-pecas-turim/p/2130109/ud/udpl/&amp;id=34,ofertasimperdiveisloja72,ofertasimperdiveisloja72.com,"{'fer', 'sim', 'per', 'tas', 'ive', 'oja', 'slo', 'a72', 'div', 'ofe', 'isl', 'imp', 'ert', 'loj', 'erd', 'vei', 'rta', 'asi', 'mpe', 'rdi', 'ja7', 'eis'}",107.180.48.126,107.180.0.0/18,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",ns51.domaincontrol.com,domaincontrol.com,97.74.105.26,97.74.104.0/23,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",1
www.alarissecurityinc.com,https://www.alarissecurityinc.com/adhere/att-net/start/index.php,alarissecurityinc,alarissecurityinc.com,"{'inc', 'ari', 'uri', 'ity', 'yin', 'ris', 'rit', 'tyi', 'sse', 'ecu', 'ala', 'sec', 'cur', 'iss', 'lar'}",54.209.15.3,54.208.0.0/15,14618,"AMAZON-AES - Amazon.com, Inc., US",ns1.crisplayer.com,crisplayer.com,54.200.38.138,54.200.0.0/15,16509,"AMAZON-02 - Amazon.com, Inc., US",1
sohojeaproveite.com,http://sohojeaproveite.com/KAIsnudnuanadad54da/index.php?rt-tv-led-32-samsung-j4290-wi-fi-conversor-digital-2-hdmi-1-usb/p/193421800/et/elit/?origin&amp;id=1,sohojeaproveite,sohojeaproveite.com,"{'eap', 'vei', 'oje', 'ite', 'apr', 'ove', 'oho', 'soh', 'hoj', 'eit', 'rov', 'jea', 'pro'}",68.66.224.45,68.66.224.0/20,55293,"A2HOSTING - A2 Hosting, Inc., US",ns3.a2hosting.com,a2hosting.com,162.159.25.82,162.159.25.0/24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",1
ofertasdodiamagalu10.com,https://ofertasdodiamagalu10.com/54a4a1Dhbv_sas47PP/index.php?&amp;id=1,ofertasdodiamagalu10,ofertasdodiamagalu10.com,"{'gal', 'rta', 'lu1', 'iam', 'odi', 'mag', 'asd', 'tas', 'dia', 'alu', 'aga', 'ofe', 'dod', 'sdo', 'ama', 'u10', 'fer', 'ert'}",68.66.224.45,68.66.224.0/20,55293,"A2HOSTING - A2 Hosting, Inc., US",ns2.a2hosting.com,a2hosting.com,162.159.24.221,162.159.24.0/24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",1
magalumagazine.sytes.net,http://magalumagazine.sytes.net/54a4a1Dhbv_sas47PP/index.php?&amp;id=7,sytes,sytes.net,"{'yte', 'tes', 'syt'}",0.0.0.0,,None,,nf1.no-ip.com,no-ip.com,194.62.182.53,194.62.182.0/24,29997,"VITAL-DNS - Vitalwerks Internet Solutions, LLC, US",1
dezmodo.com,http://dezmodo.com/images/icons/DHLGOODS/portal/index.php?email=USER@DOMAIN.ch,dezmodo,dezmodo.com,"{'odo', 'dez', 'mod', 'ezm', 'zmo'}",104.28.20.35,104.28.16.0/20,13335,"CLOUDFLARENET - Cloudflare, Inc., US",josh.ns.cloudflare.com,cloudflare.com,173.245.59.126,173.245.59.0/24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",1
tv4k-lg-magazineluiza.my.to,https://tv4k-lg-magazineluiza.my.to/televi/smart-tv-4k-led-60-lg-60uk6200-wi-fi-hdr-inteligencia-artificial-conversor-digital-3-hdmi.php,my,my.to,set(),18.191.32.3,18.191.0.0/16,16509,"AMAZON-02 - Amazon.com, Inc., US",ns1.afraid.org,afraid.org,50.23.197.94,50.23.192.0/18,36351,"SOFTLAYER - SoftLayer Technologies Inc., US",1
200.32.32.156.,http://200.32.32.156/,200.32.32.156,200.32.32.156.,"{'32.', '156', '200', '.32', '.15', '2.3', '00.', '0.3', '2.1'}",,,,,,,,,,,1
lg-tv-magazineluiza.uk.to,https://lg-tv-magazineluiza.uk.to/televi/smart-tv-4k-led-60-lg-60uk6200-wi-fi-hdr-inteligencia-artificial-conversor-digital-3-hdmi.php?ass=uIat4i9TdPY2hInvO!$gvqyY9DdiU3tFY$%cbVzWAPGuKSBKBaoQ23w4p-rn*p-g8qG,uk,uk.to,set(),18.191.32.3,18.191.0.0/16,16509,"AMAZON-02 - Amazon.com, Inc., US",ns2.afraid.org,afraid.org,69.65.50.223,69.65.0.0/18,32181,"ASN-GIGENET - GigeNET, US",1
serido.net,http://serido.net/dng/A/admin/admin/account/login.php,serido,serido.net,"{'ser', 'ido', 'eri', 'rid'}",66.7.220.182,66.7.192.0/19,33182,"DIMENOC - HostDime.com, Inc., US",ns1.serido.net,serido.net,66.7.220.183,66.7.192.0/19,33182,"DIMENOC - HostDime.com, Inc., US",1
www.4v210.com,https://www.4v210.com/wp-includes/css/b0a/Login/,4v210,4v210.com,"{'v21', '4v2', '210'}",27.254.86.20,27.254.84.0/22,9891,"CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited., TH",cs58.hostingberry.com,hostingberry.com,27.254.87.174,27.254.84.0/22,9891,"CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited., TH",1
www.joenjo-tours.com,http://www.joenjo-tours.com/wp/wp-content/plugins/bbtmpsf/GoDaddy/Godaddy-signing/,joenjo-tours,joenjo-tours.com,"{'-to', 'njo', 'jo-', 'joe', 'enj', 'urs', 'oen', 'o-t', 'tou', 'our'}",54.36.94.165,54.36.0.0/16,16276,"OVH, FR",ns02.cloudhost.id,cloudhost.id,103.15.226.15,103.15.226.0/24,136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",1
u278597943.hostingerapp.com,http://u278597943.hostingerapp.com/identificacao.php,hostingerapp,hostingerapp.com,"{'rap', 'ger', 'ost', 'app', 'era', 'sti', 'tin', 'ing', 'nge', 'hos'}",213.190.6.79,213.190.6.0/24,47583,"AS-HOSTINGER, LT",ns3.hostinger.com,hostinger.com,173.192.183.247,173.192.128.0/18,36351,"SOFTLAYER - SoftLayer Technologies Inc., US",1
t.v-magazineluiza.mine.bz,https://t.v-magazineluiza.mine.bz/video/smart-tv-4k-led-60-lg-60uk6200-wi-fi-hdr-inteligencia-artificial-conversor-digital-3-hdmi.php,mine,mine.bz,"{'min', 'ine'}",18.222.130.95,18.220.0.0/14,16509,"AMAZON-02 - Amazon.com, Inc., US",ns4.afraid.org,afraid.org,70.39.97.253,70.39.97.0/24,46844,"ST-BGP - Sharktech, US",1
